project,title,dataset,best_algorithm,primary_metric,primary_value,recommendation
dynamic_pricing,Offline RL for Dynamic Pricing,Olist Brazilian E-Commerce Dataset,conservative_fqi,average_return,25.683333333333334,"For low-risk pricing research, start with conservative fitted Q iteration on a logged-policy dataset and keep an online tabular reference only as a ceiling, not as the deployment default."
supply_chain_routing,RL for Supply Chain Routing under Uncertainty,OR-Gym Supply Chain Routing,risk_shaped_q,success_rate,1.0,"For uncertain supply chains, treat routing as a success-and-risk problem, not a shortest-path problem. Report stockout or disruption violations alongside reward."
multi_agent_traffic,Multi-Agent RL for Traffic Light Grids,CityFlow Traffic Grid,greedy_pressure_rule,average_return,0.7795454545454545,"For CPU traffic-control benchmarks, a centralized joint-action tabular baseline is enough to compare coordination strategies before investing in heavier simulators or neural MARL stacks."
reward_shaping_energy,Reward Shaping in Resource Allocation,CityLearn Energy Grid,double_q_dispatch,average_return,0.9831818181818177,"When studying reward hacking in energy control, publish at least one sparse baseline and one shaped baseline. The delta is often more informative than the raw best score."
execution_trading,Execution Algorithms in Algorithmic Trading,Huge Stock Market Dataset,twap_rule,average_return,4.111681818181818,"Use TWAP-style heuristics as baselines, but score learned execution policies on both realized reward and completion rate. A strategy that looks cheap but fails to finish is not competitive."
safe_chemical,Safe RL in Chemical Processes,Tennessee Eastman Process,constrained_q,safe_score,-9.774090909090908,"For constrained process control, report a composite safe score or a two-axis reward-versus-violations table. Pure reward ranking hides unsafe policies."
curriculum_jssp,Curriculum Learning for Job-Shop Scheduling,Taillard Job Shop Instances,shortest_job_rule,success_rate,1.0,"If compute is limited, start here. Curriculum scheduling gives a clean research story, cheap runs, and a meaningful comparison between direct and staged learning."
hierarchical_logistics,Hierarchical RL for Long-Horizon Logistics,CVRPLIB Logistics Instances,double_q_option_filter,success_rate,1.0,"If the route horizon is long, include at least one macro-option or action-filter baseline. Flat Q-learning alone understates the value of hierarchy."
meta_market_adaptation,Meta-RL for Rapid Market Adaptation,S&P 500 Stock Data,meta_q_fast_adapt,average_return,24.131818181818183,"When claiming fast market adaptation, separate no-adaptation transfer from short-horizon adaptation. Otherwise the comparison hides whether the initialization is actually useful."
hvac_optimization,RL for HVAC Energy Optimization,Sinergym HVAC Benchmark,double_q_hvac,average_return,-15.238454545454546,"Benchmark HVAC policies on both cost and comfort. If the report only shows one scalar reward, add at least one explicit comfort-violation column."
safe_deterministic_envelopes,Safe RL with Deterministic Envelopes,Safe-Control-Gym,shield_rule,safe_score,-0.08386363636363636,"If a domain has hard safety envelopes, implement the envelope explicitly and compare shielded versus unshielded learning. That ablation is the real result."
sim_to_real_transfer,Sim-to-Real Transfer for Minimal Binaries,MicroRLEnv,domain_randomized_q,average_return,1.3109090909090908,"If deployment space is tight, log the controller footprint and compare domain randomization against short real-world fine-tuning. That trade-off is often the practical decision point."
offline_resource_allocation,Offline RL for Hardware Resource Allocation,Google Cluster Data,reward_model_policy,average_return,6.0209090909090905,"For cluster-control logs, conservative fitted Q iteration is a strong first offline baseline because it exposes the value of being pessimistic on under-covered state-action pairs."
neuro_symbolic_planning,Neuro-Symbolic Planning,PDDLGym BlocksWorld,symbolic_shortest_path,success_rate,0.990909090909091,"If you claim a neuro-symbolic benefit, include the exact symbolic planner, the plain learner, and the hybrid learner in the same table. Anything less leaves the mechanism ambiguous."
mapf_optimization,Multi-Agent Pathfinding Optimization,Flatland MAPF,joint_q,success_rate,1.0,"Always include a reservation-style heuristic in MAPF studies. It is simple, strong, and clarifies whether the learning method is discovering genuine coordination."
