project,title,dataset,best_algorithm,primary_metric,primary_value,recommendation
sensor_fusion_architectures,On-Device Sensor Fusion Architectures,UCI HAR Dataset,fusion_mlp,balanced_accuracy,1.0,Start with a compact fusion CNN for multi-IMU edge activity recognition. It preserves temporal locality without paying the parameter cost of a wider dense network.
hardware_aware_nas,Hardware-Aware NAS,NAS-Bench-201-inspired HAR Search,cnn_wide,nas_score,0.9671354881759501,"For CPU-side NAS on small data, rank architectures by a composite deployment score instead of accuracy only. That is usually enough to surface mobile-friendly winners without a heavyweight NAS framework."
quantization_time_series,Quantization-Aware Training for Time-Series,EEG Eye State-inspired Sequence Benchmark,mlp_fp32,balanced_accuracy,1.0,"For noisy brain-signal classification, start from a small raw-sequence CNN and only then quantize. Extremely low-bit MLPs are smaller, but they often give up too much temporal structure."
deterministic_bnn,Deterministic Binarized Neural Networks,Fashion-MNIST / digits fallback,sign_mlp_int8,accuracy,0.92,"Use a sign-activation MLP to prototype bitwise edge inference, but keep a tiny CNN or full-precision MLP in the comparison table so the compression penalty is explicit."
continuous_edge_learning,Continuous Learning on the Edge,Gas Sensor Drift-inspired Stream,replay_buffer_mlp,post_drift_accuracy,0.26222222222222225,"For drifting edge sensors, reserve at least a small replay or rolling retraining budget. Frozen deployment models degrade too quickly once sensor distributions move."
tinyml_micro_speech,TinyML and Micro-DL,Speech Commands-inspired Spectrogram Benchmark,micro_mlp,balanced_accuracy,1.0,Treat model size as a first-class metric in TinyML. A slightly weaker depthwise or 8-bit model can be the right choice if it fits a strict flash budget.
liquid_financial_signals,Liquid Neural Networks for Financial Signals,Stock Market / synthetic volatile fallback,gru_regressor,rmse,0.01793436013162714,"For irregular or regime-shifting financial signals, compare a liquid-style recurrent cell against GRUs instead of only against dense windows. The architectural bias matters more than adding one more hidden layer."
biosignal_diagnostics,1D CNNs for Bio-Signal Diagnostics,ECG Heartbeat Categorization-inspired Benchmark,conv1d_ecg,balanced_accuracy,0.5891891891891892,"Use 1D convolutions as the primary baseline for arrhythmia-style diagnostics. Add recurrent models for comparison, but do not assume they are stronger by default on short clean windows."
knowledge_distillation_api,Knowledge Distillation from APIs,IMDB-style sentiment / synthetic fallback,teacher_mlp,accuracy,1.0,"If an external teacher or API is available, use it to distill a compact on-device student instead of only shrinking the network and hoping for the best."
spiking_edge_anomaly,Spiking Neural Networks for Edge Anomaly,NAB-inspired streaming anomaly windows,dense_autoencoder,average_precision,1.0,"Benchmark both raw and spike-encoded views of streaming signals. Even when the final detector is not a full SNN, spike-style preprocessing can change the size-accuracy frontier."
physics_informed_pinn,Physics-Informed Neural Networks,Burgers' Equation,supervised_mlp,rmse,0.11051928593798409,Report both data-fit error and physics residual for PINNs. A purely supervised MLP can look competitive on RMSE while violating the governing equation more severely.
audio_autoencoder,Audio Anomaly Detection via Tiny Autoencoders,NASA Bearing-inspired vibration benchmark,dense_autoencoder,average_precision,0.9999999999999999,"For run-to-failure audio or vibration monitoring, benchmark a convolutional autoencoder against at least one dense latent baseline. The richer inductive bias often matters more than just widening the bottleneck."
weight_quantization_theory,Weight Quantization Theory,CIFAR-10 / digits fallback,mlp_fp32,accuracy,0.8777777777777778,Report accuracy alongside model size and latency when discussing quantization theory. A lower-bit model is only compelling if the deployment benefit is visible in the same table.
continual_hashing,Continual Learning via Hashing,Covertype-inspired streaming benchmark,raw_replay,post_drift_accuracy,0.2018181818181818,"If a stream learner must stay small, compare hashed and raw inputs under the same replay budget. Hashing is only worth it if the retention-versus-adaptation trade-off is visible."
adversarial_edge_robustness,Adversarial Robustness of Edge Models,GTSRB / digits fallback,tiny_cnn_adversarial,adversarial_accuracy,0.23046875,"If an edge classifier operates in a hostile environment, optimize for adversarial accuracy directly. Clean accuracy by itself will overstate deployment readiness."
